# Tag name          ;  color
QO-100              ; #c0c0c0

# Frequency ; Name                     ; Modulation          ;  Bandwidth; Tags
 10489500000; Lower Beacon             ; USB                 ;       2700; QO-100
 10489505000; CW Only                  ; USB                 ;       2700; QO-100
 10489540000; Digi (500 Hz)            ; USB                 ;       2700; QO-100
 10489580000; Digi (2700 Hz)           ; USB                 ;       2700; QO-100
 10489650000; SSB Only                 ; USB                 ;       2700; QO-100
 10489745000; No TX                    ; USB                 ;       2700; QO-100
 10489750000; PSK Beacon               ; USB                 ;       2700; QO-100
 10489755000; SSB Only                 ; USB                 ;       2700; QO-100
 10489850000; Mixed & Special          ; USB                 ;       2700; QO-100
 10489995000; No TX                    ; USB                 ;       2700; QO-100
 10490000000; Upper Beacon             ; USB                 ;       2700; QO-100
